experiment_id,split,suite,first_seed,count,role_mode,role_mask,budget_ms,gate
SCORE-PENULTIMATE-EXACT-181,attribution,general,1760000,12,fixed,0,5000,consumed-176-blast-radius-only
SCORE-PENULTIMATE-EXACT-181,anchor,adversarial-balanced-low,1720000,1,fixed,0,5000,consumed-penultimate-causal-closure
SCORE-PENULTIMATE-EXACT-181,anchor,adversarial-threshold-low,1721000,1,fixed,0,5000,consumed-first-day-negative-control
SCORE-PENULTIMATE-EXACT-181,anchor,adversarial-terminal-low,1722000,1,fixed,0,5000,consumed-penultimate-causal-closure
SCORE-PENULTIMATE-EXACT-181,development,general,1810000,18,fixed,0,5000,candidate-vs-parent-fresh-general
SCORE-PENULTIMATE-EXACT-181,development,general,1810100,9,deadline,0,5000,candidate-vs-parent-fresh-native-role
SCORE-PENULTIMATE-EXACT-181,development,btc-lowfuel,1810200,4,fixed,128,5000,candidate-vs-parent-fresh-lowfuel
SCORE-PENULTIMATE-EXACT-181,development,btc-large,1810300,4,fixed,128,5000,candidate-vs-parent-fresh-default
SCORE-PENULTIMATE-EXACT-181,development,btc-highfuel,1810400,4,fixed,128,5000,candidate-vs-parent-fresh-highfuel
SCORE-PENULTIMATE-EXACT-181,holdout,general,1811000,48,fixed,0,5000,candidate-vs-parent-global-score-downside
SCORE-PENULTIMATE-EXACT-181,holdout,general,1811100,24,deadline,0,5000,candidate-vs-parent-native-role
SCORE-PENULTIMATE-EXACT-181,holdout,btc-lowfuel,1812000,8,fixed,128,5000,candidate-vs-parent-lowfuel
SCORE-PENULTIMATE-EXACT-181,holdout,btc-large,1812100,8,fixed,128,5000,candidate-vs-parent-default
SCORE-PENULTIMATE-EXACT-181,holdout,btc-highfuel,1812200,8,fixed,128,5000,candidate-vs-parent-highfuel
SCORE-PENULTIMATE-EXACT-181,holdout,btc-lowfuel,1812300,4,deadline,0,5000,candidate-vs-parent-lowfuel-native
SCORE-PENULTIMATE-EXACT-181,holdout,btc-large,1812400,4,deadline,0,5000,candidate-vs-parent-default-native
SCORE-PENULTIMATE-EXACT-181,holdout,btc-highfuel,1812500,4,deadline,0,5000,candidate-vs-parent-highfuel-native
