experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
PERF-PROTECTED-HASH-MEMBERSHIP-201,equivalence,direct-refiner,all,0,0,0,configured,configured,fixed,0,1,ordered-set-versus-hash-set-membership-result-plan-score-state-diagnostics,development
PERF-PROTECTED-HASH-MEMBERSHIP-201,development,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4880000,12,parent-versus-candidate-protected-refiner-membership,fresh-development
PERF-PROTECTED-HASH-MEMBERSHIP-201,development,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4881000,12,parent-versus-candidate-protected-refiner-membership,fresh-development
PERF-PROTECTED-HASH-MEMBERSHIP-201,development,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4882000,18,parent-versus-candidate-protected-refiner-membership,fresh-development
PERF-PROTECTED-HASH-MEMBERSHIP-201,development,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4883000,18,parent-versus-candidate-protected-refiner-membership,fresh-development
PERF-PROTECTED-HASH-MEMBERSHIP-201,holdout,new-stratified,easy,14,5,4,12|14,low|default|high,fixed|native,4890000,24,paired-score-validity-tail-and-parent-protection,sealed
PERF-PROTECTED-HASH-MEMBERSHIP-201,holdout,new-stratified,medium,20,7,4,12|18,low|default|high,fixed|native,4891000,24,paired-score-validity-tail-and-parent-protection,sealed
PERF-PROTECTED-HASH-MEMBERSHIP-201,holdout,new-stratified,hard,26,8,6,14|18|24,low|default|high,fixed|native,4892000,30,paired-score-validity-tail-and-parent-protection,sealed
PERF-PROTECTED-HASH-MEMBERSHIP-201,holdout,new-stratified,very-hard,32,10,8,18|24|30,low|default|high,fixed|native,4893000,30,paired-score-validity-tail-and-parent-protection,sealed
PERF-PROTECTED-HASH-MEMBERSHIP-201,btc,target-host,advanced-config,32,10,8,30,high,native,0,2,protected-refiner-throughput-score-lifecycle-and-parent-incumbent,btc-authoritative
