experiment_id,date,parent,candidate,gap,mechanism,invariants,development_split,development_result,holdout_hash,holdout_result,btc_result,verdict,reopen_condition
ATTR-THREE-PATROL-BASELINE-PATH-313,2026-09-05,04b1545,read-only source audit; no production candidate,"312 reports oracle/head6/6/0 as a complete production checkpoint comparison but its actual baseline path needs verification.","Trace caller calibration current-floor selection refiner and virtual-parent/ACK boundaries against accepted HTTP258; a missing boundary narrows prior evidence and requires full checkpoint revalidation.","No designed functionality removed disabled deferred or reduced; nothing deleted; source immutable; raw312 evidence preserved; no solver run or holdout opened.","Nine frozen source/evidence inputs in ATTR-THREE-PATROL-BASELINE-PATH-313.json; source proof only.","All nine frozen input hashes match; confirmed current-floor false/default calibration/direct solve path versus HTTP true/HTTP calibration/full checkpoint refiner and virtual-state ACK lifecycle; six guard tests pass; 312 remains engine-only6/6/0 tier3+9; production residual unmeasured; manifestAFE97EFAC35D80533024FC032D350E5675215EA025CDCA041A1304CB452A9174 audit58CA85DEC24C02D8BE7239C41AA2ADDA12618CD20F73BEF8A80A3F35FA8596CB evidence9B1C609F38669D74E95310EE8F823E36590AD1486DB2C125A0894848C0EA3EA2",none,not-applicable,not-run,accepted-source-attribution-only,"Complete checkpoint baseline must be revalidated before any SCORE successor; source audit cannot assert residual score or grant promotion."
CEILING-THREE-ACTIVE-PATROL-LOW-FUEL-PREVALENCE-312,2026-09-05,"research ledger ffbf855; canonical accepted production258 commit ab3d699; exact gap306 and rejected mechanism311","research-only exact oracle manifestD0E8656A91603B0AABE3D4277F9126062BCB4A2C624C5421DB03439B23D2A099 source5979B702FB175B63077CCBB250B6E55B5B974ECA80543B3B7C105123F94C1BCE Windows binary4262B9A55B0808EB243010360A40B89D6DDFA7C72CA4087096D6DE62D38B7C07 Linux binary9348B01F5D1A48C3B2958FDDF6878518C50C4143065EE801FFD7F4BCCF1977FB runner6AB73E3E4CEFE3D57C647CB8E756BFF7610D164F5942B998336A7321F491AC39 summarizer56B3FA4A5888938E42155F450E92964A3E6F3640B77595C98C9EA77A76EB696F; no production candidate","306 found exact oracle wins4/12 only in two low-fuel families; 310 recovered consumed cases but 311 fresh SCORE was inert where activated and failed generality; fresh prevalence of the exact gap is unresolved.","Run the complete three-active-Patrol roadless full-match DP on independent fresh low-fuel seeds; compare the direct-engine solve_head baseline at its5000-ms requested budget; 313 correction: this is not complete HTTP258 checkpoint parity; require recurrent exact feasible wins before any new causal attribution.","No designed functionality removed disabled deferred or reduced; nothing deleted; production unchanged; official lexicographic score; exact simulator and independent validator; complete enumeration; three active all-Patrol agents; players8/9/10; 5000-ms canonical checkpoint; no reuse of consumed306/311 evidence; no cap order threshold dispatcher or holdout tuning.","Frozen12 development and24 sealed holdout cases across six structural families all low fuel players8/9/10 horizon4 map8 agents3 spots5; manifestD0E8656A91603B0AABE3D4277F9126062BCB4A2C624C5421DB03439B23D2A099; development requires >=3 exact wins across >=2 families with zero invalidity and complete atomic evidence.","Complete12 results/12 case_complete/1 run_complete; exact oracle vs direct-engine baseline W/T/L6/6/0; corrected by313; complete HTTP258 residual unmeasured; all six first differ tier3; gains+2/+1/+2/+2/+1/+1 aggregate+9; wins span balanced duplicate terminal and players8/9/10; zero invalid/partial/stderr; max exact frontier23704; log45EEEDD866D22D45AF24D6CD17ECF6C93E9C0FBA9E72FE749DD5AE4BB150C0D5 summary38281BF020481E6E02275049635B35603F6E5DA68CDB898ED6562FCAEF98D3A6",D0E8656A91603B0AABE3D4277F9126062BCB4A2C624C5421DB03439B23D2A099,sealed-not-opened,not-run,accepted-engine-attribution-only,"Scope corrected by313: baseline omitted HTTP current-floor policy calibration checkpoint refiner and virtual-state ACK lifecycle. Preserve raw results; revalidate full checkpoint on all twelve consumed cases before causal mechanism design. No holdout opening SCORE successor or production change is authorized."
SCORE-COORDINATED-EXACT-BUNDLE-FRONTIER-311,2026-09-04,"canonical accepted production258 commit ab3d699; research mechanism commit8d570ed","commit2347db3 same-binary explicit maximumCoordinatedExactBundles off1/on4; planner header0D9566FD09CC47DB17E2B7F61D9EEF70F0E0E3313B1B99FD9F5CD7796AB984EE sourceD9E0A81253619039BEB74D19A1278A11A48DC483B85DF346536F91A7683AF40C decision header0FA19CEA8A95318E73B02A4FA41C78FF6013457F1A9BD6343732483CAF6F3885 source19337383AB7F9D5D2FF978620EEB4B9AB3BED9CA8E9588CA836DB1D55D161EDD harness236B6855B458231B7BEAD1835F9CEDEA5EBFD319FC881461F5FCDF6AA52C80C3 binaryD0B5F3C9035C102E24E06B459DE322A15C78C766790824373E6BDB898758956A runnerF0773FA52E8CDA96DD80E8C34E30FB5BF1679CF63A5843D824369C4DDEA3CFC2 summarizer8A55A5822F215A89AC31E3087F832C9FBDDC0E77252E36D6513242F7122F33C3; manifest588072A95C0C7FF15CE7E61C257194445C162EC781A2256BB0E38A95FC57395F","310 recovered exact oracle outcome4/4 on consumed cases with bounded canonical-bundle crossovers; fresh generality and downside are unknown.","Thread the frozen bounded frontier option through the unchanged main production portfolio; retain canonical bundles first and append at most three equal-current-score resource-Pareto one-Patrol crossovers.","No designed functionality removed disabled deferred or reduced; nothing deleted; off default unchanged; 5000ms main/role/checkpoint cap; official lexicographic score; exact simulator and independent validator; no generic cap ordering master F0 profile transition ledger or dispatcher change.","Fresh30 cases from manifest588072A95C0C7FF15CE7E61C257194445C162EC781A2256BB0E38A95FC57395F across general/multiteam12/16/24/32 players8/9/10 all fuel and role modes; same binary off1 then on4.","Complete30 pairs/60 results; W/T/L2/25/3; all differences tier3; aggregate0/0/0; gains+2/+4; losses sum-6 worst-3 and concentrated deadline/players9/window15000; activation2 matches/8 days/24 bundles but both activated matches tied; all five score differences and six pre-activation trajectory mismatches occurred with zero retained frontier work; zero safety failures; max local3019/3022ms; log2B57278EAF41C5B06F71DE25112B960D17A13C2EB4EB4B42BFF5273F3287B253 summaryDF6AAA8501EEDB9B57F3487A5D45EC566AE7E33E32E01F9E6672A33DE328EE8B.","sealed54 cases in same frozen manifest SHA256 588072A95C0C7FF15CE7E61C257194445C162EC781A2256BB0E38A95FC57395F",sealed-not-opened,not-run,rejected-development,"Reopen only from a new invariant and fresh counterexample proving recurrent useful frontier activation; do not reuse this development split or open its sealed holdout for the rejected candidate."
ATTR-COORDINATED-EXACT-BUNDLE-FRONTIER-310,2026-09-04,"canonical accepted production258 commit ab3d699; research attribution parent40bdf8b; exact-gap306-309","research-only additive canonical-bundle crossover frontier header0D9566FD09CC47DB17E2B7F61D9EEF70F0E0E3313B1B99FD9F5CD7796AB984EE plannerD9E0A81253619039BEB74D19A1278A11A48DC483B85DF346536F91A7683AF40C probe221547286BC011CBE1F4C3D1768294501FB600846B91BA480636E81BF5D489F3 binary9E6E77D602BB127DDDAA9775DD8E665D98007AA2A693A37EF32CC5849CFF9504 runnerB71D050B88FC3AC6A11A4C2DFA312069BB1602A67EA8EC3BC94117F9CE21322F summarizer9C56781C49BE8A79EDD30437CF8C09F65A9E753992604FE6595E69B5DF34AA23; no production candidate","309 found canonical coordinated route mask011 in4/4 while complete enumeration mask111 and one missing-route injection makes unchanged master32 retain exact outcome4/4.","Preserve all canonical bundles first; optionally append at most three unique one-Patrol crossovers between complete canonical exact bundles with identical current score and a resource-Pareto terminal state.","No designed functionality removed disabled deferred or reduced; nothing deleted; default path byte-identical; generic caps ordering master F0 profile simulator validator transition and 5000ms authority unchanged; consumed cases only.","Exactly four consumed306 wins from manifest2BC105B7009F1E3017D7DB960C21D10E4C8A525EFCAA410EA414A119732159CE; off lane exact parent equivalence; on lane recurrent extra bundle and oracle recovery in at least two seeds.","Complete4/4; off frontier candidates/bundles0/0; on candidates46/46/47/47 and bundles3 each; exact oracle plan/outcome recovered by unchanged master32 in4/4; nodes3438/3419/3528/3241; empty stderr; logF6347DDC344330D1DBAB30E04F3859563AF13889CA99E9921651435A64ABD7A5 summaryBF9E8903AF117198D68C092902E92AEDBCD57A256E0C4EEFA0CA98B45CB3A8AB.",none,not-applicable,not-run,closed-positive-canonical-bundle-crossover-frontier,"A separately frozen SCORE successor may wire the exact frozen option through production and test same-binary off/on at5000ms on fresh development; no holdout opened."
ATTR-THREE-ACTIVE-PATROL-PIPELINE-309,2026-09-04,"canonical accepted production258 commit ab3d699; exact-gap306; causal307; frontier308","read-only existing multi-patrol route/master/F0/profile attribution using frozen sourceABBD6C7854E1910E9B5F27C979F8436894D3D474C092DEAB2F2BEB7B6D33AC89 binaryA5F6A39F68A66854C34FFCF377FE00AD88E103129D4E62195DD6A45CADDDEB34 runner5A70751B5D52501859AC6335A8B76A88D1082C3A30C81A72F37F437E7CF909B9 summarizerB3901D550BC5994F5034389469D9C55F156AA5738BF156260F944F2B7574AF75; no production source candidate","308 found terminal-resource state absent from final16 candidates in3 seeds and present-but-not-shortlisted in1; earliest pipeline loss boundary remains unknown.","Measure exact per-agent route membership at production/wide caps, exact/outcome membership after master32/256, F0-16 membership under current and valid-upper selection, and profile dominance; require one stage class in at least two seeds.","No designed functionality removed disabled deferred or reduced; nothing deleted; production unchanged; consumed development only; no sealed holdout source change cap threshold dispatcher or promotion authority.","Exactly four consumed306 wins from manifest2BC105B7009F1E3017D7DB960C21D10E4C8A525EFCAA410EA414A119732159CE; recurrent stage class in at least two seeds authorizes one separate fresh SCORE successor.","Complete4/4; production legacy/expanded/merged route masks011 in all cases while wide32/64 masks111; exact enumeration complete for3 agents; adding exactly one missing oracle route makes master32 and wide master retain the exact outcome4/4; both profiles certified but neither nonterminal-dominates; empty stderr; log362AB13F5D8A6145905BC1BBFBA8E46BDBAA9D8E88C70135F07F973A7587C4EC summaryDDA4C788D58E01961C98CCDD3E025D3BB811E46A407A106119941E8884932759.",none,not-applicable,not-run,closed-positive-coordinated-bundle-supply,"Prototype only an additive bounded permutation-invariant frontier of equal-current-score coordinated exact bundles; preserve the existing bundle first and leave master/F0/profile/transition authority unchanged."
ATTR-THREE-ACTIVE-PATROL-FRONTIER-308,2026-09-04,"canonical accepted production258 commit ab3d699; exact-gap306; causal307","additive research-only candidate terminal-state multiset and shortlist/certificate/selection telemetry source0DCA1AE3CE4ACF74B6C0B2EBE22ADB8E05E398E6177A97FB90A633249AA1A411 Linux binaryF67A09C4790B1F5CBC86B4DDF0A71EE0C487C6AB2D5AB11A61E9234F8CD6D314 runner716A6352C43E516D0AD0AE08B1BFF1A0091A5F215E9FE093DB2C19749F369467 summarizer8BF446149B3B8C6EBABAA1922FB3F957CBB2A257C22DF212367D64AF12D10B42 manifest2BC105B7009F1E3017D7DB960C21D10E4C8A525EFCAA410EA414A119732159CE; no production source candidate","307 found day1 equal-score causal divergence in all four exact wins; stable-plan membership was absent3/present1 but agent symmetry can hide terminal-state-equivalent candidates.","Compare permutation-invariant terminal cell/fuel multisets plus cumulative score against every day1 candidate; classify state absence versus unshortlisted versus uncertified versus certified-not-selected; require one class in at least two seeds.","No designed functionality removed disabled deferred or reduced; nothing deleted; production unchanged; additive telemetry only; consumed development cases; no sealed holdout source behavior threshold cap dispatcher or promotion authority.","Exactly four consumed306 winning seeds; manifest2BC105B7009F1E3017D7DB960C21D10E4C8A525EFCAA410EA414A119732159CE; recurrent permutation-invariant class in at least two independent cases required for a separate SCORE successor.","Complete4 cases/16 traces; all permutation-invariant causal day1 at equal current score; terminal state absent from all16 candidates in3 cases across balanced/duplicate families and present once but not-shortlisted/uncertified/unselected in1 case; zero stderr; log3F4749228566CAFF00ACB5596C478EBC7B68F2FA91EDC1596FB4795643C73A4E summaryAE52BAE2D0A700FF1485E71E3D417AE7CA770D04F305A358F870093D5F172B39.",none,not-applicable,not-run,closed-positive-terminal-frontier-gap,"A separately preregistered SCORE successor may preserve a bounded permutation-invariant terminal cell/fuel frontier on fresh development and the still-sealed306 holdout; do not tune on consumed cases."
ATTR-THREE-ACTIVE-PATROL-CAUSALITY-307,2026-09-04,"canonical accepted production258 commit ab3d699; exact-gap306","read-only detailed replay with unchanged frozen306 exact oracle and production planner; manifest2BC105B7009F1E3017D7DB960C21D10E4C8A525EFCAA410EA414A119732159CE runner716A6352C43E516D0AD0AE08B1BFF1A0091A5F215E9FE093DB2C19749F369467 summarizer29007A6419C1647E5869C70EF6015C2FC295BA6DC25FC4914885E14BEFFC7857; no production source candidate","306 found four exact feasible tier3 wins recurrent across two low-fuel structural families but did not identify the earliest production loss boundary.","Replay four consumed development wins; at first cumulative-score or terminal-state divergence classify zero oracle-plan audit matches as candidate-supply and positive matches as selection; require same class in at least two independent seeds.","No designed functionality removed disabled deferred or reduced; nothing deleted; production unchanged; consumed development counterexamples only; exact simulator and independent validator; no sealed holdout source patch threshold cap dispatcher or score authority.","Exactly four consumed306 winning seeds and sixteen day traces; recurrent classification in at least two seeds authorizes only a fresh SCORE successor; no recurrence closes the mechanism.","Complete4 cases/16 traces; all causal day1 at equal current-day score; direct stable-plan classification candidate-supply3 and selection1; zero stderr; logC9658D14D6F059ADEB00FAEC3A981EA27C45AD0E058FC504E393096A3E08CF90 summaryC2B0C349FFD9471CD9D95A1F5883142CA61F33BA3396669D47BCE80DFA3B6F44.",none,not-applicable,not-run,closed-positive-mixed-needs-frontier-attribution,"ATTR308 must distinguish permutation-equivalent terminal-state supply from shortlist/certificate/comparator loss before any SCORE source change."
CEILING-THREE-ACTIVE-PATROL-306,2026-09-04,"canonical accepted production258 commit ab3d699; closed noncausal305; research ledger a96625f","research-only complete three-active-Patrol full-match oracle sourceABBD6C7854E1910E9B5F27C979F8436894D3D474C092DEAB2F2BEB7B6D33AC89 Windows binary4BF11F2D1F7384A813FEE355F206C5BF9CC19EE6790DF733AE31B19AE511B656 Linux binaryA5F6A39F68A66854C34FFCF377FE00AD88E103129D4E62195DD6A45CADDDEB34 VM runner54A3FD62298DCE3C37706D7F206B5FD53CE38B26661A3873989E8F39443D7F99 summarizerD555BA3CF422DE55051950E9EFC71810BCE154A9CB0C52820132CB4D28C8704F; no production source candidate","Existing exact full-match oracle085 used two active Patrols plus one isolated control; 304/305 bounds are noncausal; no exact evidence covers official-minimum three simultaneously active Patrols.","Enumerate every daily position/fuel/claim outcome per Patrol; compose three stock-aware outcomes; canonicalize interchangeable-agent state; retain exact official-score Pareto frontier; replay winner through exact simulator and independent validator; compare unchanged production258 at5000ms.","No designed functionality removed disabled deferred or reduced; nothing deleted; production source/runtime unchanged; roadless exact scope; official lexicographic score only; three active all-Patrol agents; players8/9/10; zero invalid/emergency; local elapsed has no performance authority; no cap threshold dispatcher replay or BTC ranking.","Frozen12 development plus24 sealed holdout cases across six structural families low/default/high fuel players8/9/10 horizon4 map8 agents3 spots5; manifest1353981266D1C41B232C4F2AEF2D92B0D46F5EF36BA6FD846E76B4187C2B08AF. Zero oracle win closes; any exact win opens attribution only; SCORE successor requires one invariant mechanism recurring in at least two independent development cases.","Complete12 cases; oracle/head W/T/L4/8/0; first-open tier3 wins4 with gains+1,+2,+1,+1 recurring in two balanced and two duplicate low-fuel cases at players8/9; all other strata tie; zero invalid; maximum frontier136011; logBDEC34C4D5B65AE49A463616408E6B871872DC318386988A4499BC87C606E3B5 summary694DA48DF24E4D092F16796F0A2150DD4C3B592A74ADD25991EF39B2C9BB0FAC.",1353981266D1C41B232C4F2AEF2D92B0D46F5EF36BA6FD846E76B4187C2B08AF,sealed,not-run,exact-gap-found-attribution-required,"Attribution307 must identify the earliest recurrent causal loss before any SCORE source change; never tune on sealed holdout."
ATTR-OPTIMALITY-ENVELOPE-CAUSALITY-305,2026-09-04,"canonical accepted production258 commit ab3d699; confirmed attribution304","read-only structural classification over consumed304 evidence and frozen bound producers; no production source candidate","304 confirmed candidate horizon tier2 on121/145 holdout roots and today tier3 on110/145 but upper-bound prevalence does not prove an attainable missed witness.","Classify gaps by terminal status and master completion/deadline; compare candidate viability and absolute upper bounds; trace each producer as feasible witness versus arithmetic/resource relaxation.","No designed functionality removed disabled deferred or reduced; nothing deleted; attribution-only consumed304 evidence; no rerun source change holdout threshold cap dispatcher or promotion authority.","Frozen7-input manifestE4CFE6C8F00AAD9DA18BD89CF8B070249DB3EA84E569CF51C4626AEEC4210F84 pinning304 manifest complete logs/summaries and decision/master source; successor requires recurrent open complete-master root plus an exact feasible challenger absent from chosen candidates; arithmetic relaxation closes negative.","Complete217 roots: candidate gap exactly nonterminal181 open terminal36 closed; today complete/closed21 complete/open8 incomplete/closed45 incomplete/open143; candidate=absolute13 candidate=viability13 viability=absolute214; exact feasible challenger records0; source checks3/3; script700D109DE88B0170ED34BE7C2C6553F1ED89FDE08361FC2749016E780559C4BB evidenceF5D7E254AC2EE79A0C1390F586343722DFB0DB0498F7498D0B26251EBA84ECCA.",none,not-applicable,not-run,closed-noncausal-bound-telemetry,"Reopen only from a fresh exact full-match oracle counterexample with a feasible lexicographically better three-active-Patrol plan on official8/9/10-team configs; open bound telemetry alone has no authority."
ATTR-OPTIMALITY-ENVELOPE-PREVALENCE-304,2026-09-04,"canonical accepted production258 commit ab3d699; research closure303; branch HEAD4b09560","instrumentation-only historical harness469F19D32C3111719BDC85EE10D69F2646C962438F9B0CDD7D837AA7D97FE3EF binary33888811F62CB3BF5316A41328315D8077458344CB6C4F71AA2DC3815E134827 runner5D2EC28341209D1EBA7443684A8DA685ED8784DB6EF4B883CCC0AD925AB9201D summarizer71EF9FE1370F2412EFC5EB17CAB2E2BE513CD78EA9E1027991053DF8F1D76AAF; no production source candidate","297-300 proved exact cheaper required-terminal capability but301 regressed under timed integration and302-303 found no safe integration boundary; identify which canonical optimality envelope remains recurrently open on fresh official-domain states.","Emit existing todayPortfolio candidateHorizon viabilityHorizon and absoluteHorizon lower/upper/component gap/first-tier/validity plus completeness/deadline telemetry; never change planning or selection.","No designed functionality removed disabled deferred or reduced; nothing deleted; canonical258 behavior and3375/5000 checkpoint unchanged; official lexicographic score exact simulator independent validator; no BTC replay reuse dispatcher cap widening or production authority.","Frozen12 development and24 sealed holdout cases across8/9/10 players general/map12/16/24/32 all fuel profiles fixed/deadline roles and public windows5000/10000/15000; manifestD908B37A1787ACDDF01BB0DF9D34078EFE08EF18808CB4957A7D294CBA3B2DF4; open holdout only with zero safety/envelope failure and recurrent non-absolute tier1/2 breadth or tier3 prevalence>=25% across broad strata.","Complete12 cases/72 day roots; candidate closed/tier1/tier2/tier3=12/0/60/0 viability=2/0/60/10 today=31/0/0/41; non-absolute high-tier roots60 and tier3 roots45 across all suites/fuels/players/roles/windows; safety and invalid envelopes0; gate pass; log511052468657374CA3F7283B808F3BC6DAD43E85EF8D5DD777CEA9C1955615FE summary76CBF5A90A1051A56AB9A7614210A9992FF0FF53EE004CE254FE6AD013D73A9B.",D908B37A1787ACDDF01BB0DF9D34078EFE08EF18808CB4957A7D294CBA3B2DF4,"Complete24 cases/145 roots; candidate24/0/121/0 viability1/0/122/22 today35/0/0/110; high-tier roots122 tier3 roots118 across all strata; safety/envelope failures0; log127B144E38F092A43D86C571605F525958EE57507EACBF09E9FED2EEB48B207D summary1C8E5561646E8A2745F3558BD0D04C72BE188CB59D22B208066574B5BC0158F8.",not-run,confirmed-attribution-only,"Prevalence cannot promote a mechanism. Causality305 must prove attainability; otherwise close as coarse bound telemetry."
