probe_begin,fixture=syn-colgen-208-threshold-corridor-seed-6100004,family=threshold-corridor,spots=32,daySteps=200,brandMode=distinct,players=2,fuel=600,budgetMs=3375
day=1,dailyDelta=20,servDelta=30,cum=20/20/30,cgDeadline=1,starved=[5 6 7],stub=[5 6 7],cols=[12 19 12 12 12 2 2 2],brands=[0 15 15 17 13 4 4 4],agentMs=[37 254 207 175 34 0 0 0],agentQ=[24 54 52 38 9 0 0 0],cacheHits=0,cacheMisses=177,labels=540233,paretoQueries=177,combos=128,masterDeadline=1,colGenMs=1343,searchMs=1867,totalMs=3014
day=2,dailyDelta=23,servDelta=42,cum=32/43/72,cgDeadline=1,starved=[],stub=[],cols=[12 25 19 12 12 12 12 12],brands=[0 27 18 16 16 16 15 20],agentMs=[58 134 90 95 85 82 80 108],agentQ=[24 54 34 34 42 24 30 33],cacheHits=0,cacheMisses=275,labels=489586,paretoQueries=275,combos=4,masterDeadline=1,colGenMs=1435,searchMs=1927,totalMs=3016
day=3,dailyDelta=32,servDelta=84,cum=32/75/156,cgDeadline=0,starved=[],stub=[],cols=[12 23 25 25 25 23 21 21],brands=[0 23 24 31 31 31 31 24],agentMs=[39 88 99 62 39 77 36 86],agentQ=[24 54 54 52 24 42 28 46],cacheHits=19,cacheMisses=333,labels=371173,paretoQueries=352,combos=72,masterDeadline=1,colGenMs=1201,searchMs=1955,totalMs=3021
day=4,dailyDelta=31,servDelta=92,cum=32/106/248,cgDeadline=0,starved=[],stub=[],cols=[12 24 24 25 25 25 25 23],brands=[0 31 30 31 31 29 28 25],agentMs=[46 71 69 43 0 92 40 69],agentQ=[24 54 34 34 24 54 26 42],cacheHits=43,cacheMisses=277,labels=303457,paretoQueries=320,combos=228,masterDeadline=1,colGenMs=1090,searchMs=2007,totalMs=3016
day=5,dailyDelta=31,servDelta=91,cum=32/137/339,cgDeadline=0,starved=[],stub=[],cols=[12 25 25 23 24 21 24 24],brands=[0 30 24 26 27 31 27 28],agentMs=[54 94 76 58 76 47 36 65],agentQ=[24 54 54 42 42 34 24 32],cacheHits=19,cacheMisses=315,labels=343814,paretoQueries=334,combos=96,masterDeadline=1,colGenMs=1229,searchMs=1953,totalMs=3050
day=6,dailyDelta=31,servDelta=90,cum=32/168/429,cgDeadline=0,starved=[],stub=[],cols=[12 23 24 23 24 25 24 25],brands=[0 28 31 25 21 24 31 30],agentMs=[32 96 71 41 96 70 32 85],agentQ=[24 54 34 34 52 54 24 48],cacheHits=21,cacheMisses=331,labels=369904,paretoQueries=352,combos=129,masterDeadline=1,colGenMs=1186,searchMs=1982,totalMs=3013
day=7,dailyDelta=31,servDelta=84,cum=32/199/513,cgDeadline=0,starved=[],stub=[],cols=[12 25 25 24 22 25 25 23],brands=[0 24 24 21 28 28 30 26],agentMs=[47 85 28 78 94 44 62 65],agentQ=[24 54 24 54 52 34 42 42],cacheHits=21,cacheMisses=333,labels=374838,paretoQueries=354,combos=205,masterDeadline=1,colGenMs=1130,searchMs=1999,totalMs=3018
day=8,dailyDelta=18,servDelta=42,cum=32/217/555,cgDeadline=1,starved=[],stub=[],cols=[12 25 20 12 12 12 12 12],brands=[0 31 27 13 21 14 13 13],agentMs=[47 117 91 80 43 64 43 102],agentQ=[24 54 42 26 26 24 24 48],cacheHits=4,cacheMisses=309,labels=322056,paretoQueries=313,combos=0,masterDeadline=1,colGenMs=1434,searchMs=1960,totalMs=3026
day=9,dailyDelta=31,servDelta=85,cum=32/248/640,cgDeadline=0,starved=[],stub=[],cols=[12 18 25 18 23 25 24 25],brands=[0 31 28 31 28 28 28 28],agentMs=[41 99 89 0 81 42 46 38],agentQ=[24 54 42 24 34 24 26 24],cacheHits=49,cacheMisses=250,labels=257737,paretoQueries=299,combos=129,masterDeadline=1,colGenMs=1193,searchMs=2030,totalMs=3114
day=10,dailyDelta=21,servDelta=43,cum=32/269/683,cgDeadline=0,starved=[],stub=[],cols=[12 25 20 23 25 25 24 20],brands=[0 27 31 23 24 31 30 31],agentMs=[46 115 70 111 66 52 90 0],agentQ=[24 54 48 52 42 34 42 24],cacheHits=47,cacheMisses=318,labels=341828,paretoQueries=365,combos=0,masterDeadline=1,colGenMs=1378,searchMs=1978,totalMs=2115
probe_result,fixture=syn-colgen-208-threshold-corridor-seed-6100004,spots=32,daySteps=200,brandMode=distinct,players=2,score=32/269/683,starvedDays=1,stubDays=1
