lane,source,cases,budget_ms,role_mode,fuel,horizon,gate
unit,operation-bounded-role-evidence,10,5000,direct,mixed,4-10,"fixed work limits complete identically independent of wall-clock slack; outer deadline only aborts and never promotes partial evidence; exact simulator and independent validator agree"
development-positive,"general seed 923007",1,5000,exhaustive,low,4,"candidate must select or retain mask8; same-binary fixed mask8 6/24/38 versus mask4 6/24/32"
development-negative,"m-1285;m-1286 role setups",2,5000,deadline,"low;high",10,"no seed/map/match routing; preserve accepted low/high role behavior unless deeper complete official evidence is strictly better"
general-native,fresh-generated-seeds-931000-931017,18,5000,exhaustive,mixed,4-5,"paired official score and role mask; all completed operation counts equal by assignment; zero invalid/emergency"
general-deadline,fresh-generated-seeds-932000-932017,18,5000,deadline,mixed,4-5,"paired official score; no incomplete evidence-depth comparison; role wall remains within 5000 only on target host"
btc-like-low,fresh-generated-seeds-933000-933007,8,5000,deadline,low,10,"32x32, 100 steps, 8 agents, 12 spots, 6 brands; paired W/T/L, first differing tier and downside tail"
btc-like-default,fresh-generated-seeds-934000-934007,8,5000,deadline,default,10,"32x32, 100 steps, 8 agents, 12 spots, 6 brands; paired W/T/L, first differing tier and downside tail"
btc-like-high,fresh-generated-seeds-935000-935007,8,5000,deadline,high,10,"32x32, 100 steps, 8 agents, 12 spots, 6 brands; paired W/T/L, first differing tier and downside tail"
archive-protected,"m-0929;m-1138;m-1252;m-1255;m-1257;m-1266;m-1285;m-1286",8,5000,counterfactual,mixed,10,"preserve accepted central/two-tanker and low/high counterexamples; no tier1/tier2 regression; quantify tier3 tails"
btc-fresh,explicit-advanced-unopened,2,5000,live,"low;high",10,"target-host final: role and solver p95/p99/max, hard cap, validity, transitions and paired counterfactual role score; rank is failure gate only"
