experiment_id,split,suite,first_seed,count,role_mode,role_mask,budget_ms,gate
SCORE-POST-PARENT-EXACT-180,attribution,general,1760000,12,fixed,0,5000,consumed-176-no-regression-proof
SCORE-POST-PARENT-EXACT-180,anchor,adversarial-balanced-low,1720000,1,fixed,0,5000,consumed-exact-causal-closure
SCORE-POST-PARENT-EXACT-180,anchor,adversarial-threshold-low,1721000,1,fixed,0,5000,consumed-exact-causal-closure
SCORE-POST-PARENT-EXACT-180,anchor,adversarial-terminal-low,1722000,1,fixed,0,5000,consumed-exact-causal-closure
SCORE-POST-PARENT-EXACT-180,development,general,1800000,18,fixed,0,5000,candidate-vs-parent-fresh-general
SCORE-POST-PARENT-EXACT-180,development,general,1800100,9,deadline,0,5000,candidate-vs-parent-fresh-native-role
SCORE-POST-PARENT-EXACT-180,development,btc-lowfuel,1800200,4,fixed,128,5000,candidate-vs-parent-fresh-lowfuel
SCORE-POST-PARENT-EXACT-180,development,btc-large,1800300,4,fixed,128,5000,candidate-vs-parent-fresh-default
SCORE-POST-PARENT-EXACT-180,development,btc-highfuel,1800400,4,fixed,128,5000,candidate-vs-parent-fresh-highfuel
SCORE-POST-PARENT-EXACT-180,holdout,general,1801000,48,fixed,0,5000,candidate-vs-parent-global-score-downside
SCORE-POST-PARENT-EXACT-180,holdout,general,1801100,24,deadline,0,5000,candidate-vs-parent-native-role
SCORE-POST-PARENT-EXACT-180,holdout,btc-lowfuel,1802000,8,fixed,128,5000,candidate-vs-parent-lowfuel
SCORE-POST-PARENT-EXACT-180,holdout,btc-large,1802100,8,fixed,128,5000,candidate-vs-parent-default
SCORE-POST-PARENT-EXACT-180,holdout,btc-highfuel,1802200,8,fixed,128,5000,candidate-vs-parent-highfuel
SCORE-POST-PARENT-EXACT-180,holdout,btc-lowfuel,1802300,4,deadline,0,5000,candidate-vs-parent-lowfuel-native
SCORE-POST-PARENT-EXACT-180,holdout,btc-large,1802400,4,deadline,0,5000,candidate-vs-parent-default-native
SCORE-POST-PARENT-EXACT-180,holdout,btc-highfuel,1802500,4,deadline,0,5000,candidate-vs-parent-highfuel-native
