experiment_id,split,lane,suite,role_mode,role_mask,response_ms,first_seed,seeds,authority,gate
SCORE-LONG-WITNESS-168,development,general-parent-5s,general,fixed,8,5000,4410000,18,local-semantic,parent-byte-score-state-validator-equivalence
SCORE-LONG-WITNESS-168,development,general-candidate-15s,general,fixed,8,15000,4410000,18,local-falsification,strict-complete-witness-activation-and-paired-score
SCORE-LONG-WITNESS-168,development,btc-default-parent-5s,btc-large,fixed,128,5000,4411000,2,local-semantic,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,development,btc-default-candidate-15s,btc-large,fixed,128,15000,4411000,2,local-falsification,strict-complete-witness-activation-and-paired-score
SCORE-LONG-WITNESS-168,development,btc-low-parent-5s,btc-lowfuel,fixed,128,5000,4411100,2,local-semantic,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,development,btc-low-candidate-15s,btc-lowfuel,fixed,128,15000,4411100,2,local-falsification,strict-complete-witness-activation-and-paired-score
SCORE-LONG-WITNESS-168,development,btc-high-parent-5s,btc-highfuel,fixed,128,5000,4411200,2,local-semantic,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,development,btc-high-candidate-15s,btc-highfuel,fixed,128,15000,4411200,2,local-falsification,strict-complete-witness-activation-and-paired-score
SCORE-LONG-WITNESS-168,holdout,general-parent-5s,general,fixed,8,5000,4420000,54,sealed,parent-byte-score-state-validator-equivalence
SCORE-LONG-WITNESS-168,holdout,general-candidate-15s,general,fixed,8,15000,4420000,54,sealed,global-wtl-first-tier-gain-loss-tail
SCORE-LONG-WITNESS-168,holdout,btc-default-parent-5s,btc-large,fixed,128,5000,4430000,6,sealed,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,holdout,btc-default-candidate-15s,btc-large,fixed,128,15000,4430000,6,sealed,global-wtl-first-tier-gain-loss-tail
SCORE-LONG-WITNESS-168,holdout,btc-low-parent-5s,btc-lowfuel,fixed,128,5000,4431000,6,sealed,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,holdout,btc-low-candidate-15s,btc-lowfuel,fixed,128,15000,4431000,6,sealed,global-wtl-first-tier-gain-loss-tail
SCORE-LONG-WITNESS-168,holdout,btc-high-parent-5s,btc-highfuel,fixed,128,5000,4432000,6,sealed,parent-score-state-validator-floor
SCORE-LONG-WITNESS-168,holdout,btc-high-candidate-15s,btc-highfuel,fixed,128,15000,4432000,6,sealed,global-wtl-first-tier-gain-loss-tail
SCORE-LONG-WITNESS-168,holdout,general-parent-60s,general,fixed,8,5000,4440000,54,sealed-separate,parent-protected-first-submission
SCORE-LONG-WITNESS-168,holdout,general-candidate-60s,general,fixed,8,60000,4440000,54,sealed-separate,open-only-after-15s-gate-and-authoritative-window
SCORE-LONG-WITNESS-168,btc,target-host-15s,official,fixed-or-assigned,0,15000,0,1,btc-authoritative,all-valid-no-emergency-no-overrun-strict-certificate-only
