experiment_id,split,lane,suite,role_mode,role_mask,response_ms,first_seed,seeds,authority,gate
DEADLINE-LONG-166,development,general-fixed-5s,general,fixed,8,5000,4300000,6,local-semantic,parent-byte-score-state-validator-equivalence
DEADLINE-LONG-166,development,general-fixed-15s,general,fixed,8,15000,4300000,6,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,general-fixed-60s,general,fixed,8,60000,4300000,6,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-default-5s,btc-large,fixed,128,5000,4310000,1,local-semantic,parent-score-state-validator-floor
DEADLINE-LONG-166,development,btc-default-15s,btc-large,fixed,128,15000,4310000,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-default-60s,btc-large,fixed,128,60000,4310000,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-low-5s,btc-lowfuel,fixed,128,5000,4310100,1,local-semantic,parent-score-state-validator-floor
DEADLINE-LONG-166,development,btc-low-15s,btc-lowfuel,fixed,128,15000,4310100,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-low-60s,btc-lowfuel,fixed,128,60000,4310100,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-high-5s,btc-highfuel,fixed,128,5000,4310200,1,local-semantic,parent-score-state-validator-floor
DEADLINE-LONG-166,development,btc-high-15s,btc-highfuel,fixed,128,15000,4310200,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,development,btc-high-60s,btc-highfuel,fixed,128,60000,4310200,1,local-falsification,paired-official-score-and-search-attribution
DEADLINE-LONG-166,holdout,general-fixed-5s,general,fixed,8,5000,4320000,54,sealed,parent-byte-score-state-validator-equivalence
DEADLINE-LONG-166,holdout,general-fixed-15s,general,fixed,8,15000,4320000,54,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,general-fixed-60s,general,fixed,8,60000,4320000,54,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-default-5s,btc-large,fixed,128,5000,4330000,6,sealed,parent-score-state-validator-floor
DEADLINE-LONG-166,holdout,btc-default-15s,btc-large,fixed,128,15000,4330000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-default-60s,btc-large,fixed,128,60000,4330000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-low-5s,btc-lowfuel,fixed,128,5000,4340000,6,sealed,parent-score-state-validator-floor
DEADLINE-LONG-166,holdout,btc-low-15s,btc-lowfuel,fixed,128,15000,4340000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-low-60s,btc-lowfuel,fixed,128,60000,4340000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-high-5s,btc-highfuel,fixed,128,5000,4350000,6,sealed,parent-score-state-validator-floor
DEADLINE-LONG-166,holdout,btc-high-15s,btc-highfuel,fixed,128,15000,4350000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,btc-high-60s,btc-highfuel,fixed,128,60000,4350000,6,sealed,paired-global-score-downside-and-attribution
DEADLINE-LONG-166,holdout,general-deadline-role-5s,general,deadline,0,5000,4360000,18,sealed,parent-role-mask-score-state-validator-equivalence
DEADLINE-LONG-166,holdout,general-deadline-role-15s,general,deadline,0,15000,4360000,18,sealed,open-only-if-assignment-window-is-authoritative
DEADLINE-LONG-166,holdout,general-deadline-role-60s,general,deadline,0,60000,4360000,18,sealed,open-only-if-assignment-window-is-authoritative
